text,time_period,language,source,author
"""என்னப்பா? வேணுவைப்பற்றி உனக்குத் தெரியாதா? மாம்பலத்திலிருந்து கொண்டு, வேணுவைப் பற்றித் தெரியாதென்றால் அதிசயமாக இருக்கிறது.""",1935,ta,wiki,அந்த
"அவருக்கு அதிசயமாக இருந்தாலும், எனக்குத் தெரியாதென்று ஒத்துக் கொள்ள வேண்டியிருந்தது. உடனே உற்சாகமாக கதை சொல்லவாரம்பித்தார்:",1935,ta,wiki,அந்த
வேணுவைப்பற்றி உனக்குத் தெரியுமே. அவன் இங்கு தான் ஒரு பெரிய ஷாப்பு வைத்துக் கொண்டிருந்தான். அப்பொழுதும் மாம்பலத்தில்தான் குடியிருந்தான். அங்கிருந்துதான் கடைக்கு வருவதும் போவதுமாக இருந்தான்.,1935,ta,wiki,அந்த
"ஒரு நாள் சாயங்காலம் போர்ட் ஸ்டேஷனில் புறப்பட்டான். அப்பொழுது மின்சார ரயில் போடப்படவில்லை. டிக்கட்டை வாங்கிக்கொண்டு பிளாட்பாரத்தில் உலாவிக் கொண்டிருக்கும்பொழுது, அவன் மனம் பித்தம் பிடித்ததுபோல் ஓடிக்கொண்டிருந்தது. அன்று ரயிலில் கூட்டமில்லை.",1935,ta,wiki,அந்த
"பிளாட்பாரத்தில் உலாவிக் கொண்டிருக்கும் பொழுது, ஒரு அழகான பெண் ரயிலில் ஏற வந்தாள். பார்த்ததும், அவன் மனம் பித்துப் பிடித்தது போலாயிற்று. அவனும் அவள் பின்னோடேயே தொடர்ந்தான். அவள் ஒரு தனி வண்டியில் ஏறினாள். அவன் பிளாட்பாரத்தில் அங்குமிங்கும் அசடு வழிந்துகொண்டு உலாவினான். அவளிடம் எப்படிப் பேசுவது? அதுதான் பெரிய பிரச்சினை. அப்பொழுது வண்டியும் புறப்பட மணி அடித்தது. உடனே அவனும் முன்பின் யோசியாது அந்த வண்டியில் ஏறி அவள் உட்கார்ந்திருந்த பலகைக்கெதிரில் உட்கார்ந்தான்.",1935,ta,wiki,அந்த
"அவள் அவனை ஏறிட்டுப் பார்த்துவிட்டு, கையிலிருந்த புத்தகத்தைப் படிக்கவாரம்பித்தாள். சில சமயம் அவள் கண்கள், அவனைத் தற்செயலாக நோக்கும். கையிலிருந்த புத்தகத்தைப் படித்துக் கொண்டிருந்தவள் திடீரென்று உள்ளுக்குள் நகைத்துக் கொண்டாள்.",1935,ta,wiki,அந்த
"வேணுவிற்கு இவ்வளவும், அவள் தனது வடிவழகில் ஈடுபட்டதினால் ஏற்பட்டது என்று தோன்றியது. பேசுவதற்கு நாவோடவில்லை. வாய் அடைத்துக் கொண்டது.",1935,ta,wiki,அந்த
"அவள், ஒரு குதியில் தன்னை விடுவித்துக் கொண்டு கூக்குரலிட்டுச் சங்கிலியைப் பிடித்திழுத்தாள்.",1935,ta,wiki,அந்த
"வண்டி நின்றது. கார்டுகள், போலீஸ்காரர்கள் எல்லோரும் அங்கு கூடினர். விஷயம் தெரிந்தது. வேணு கைது செய்யப்பட்டு, ஸ்டேஷனுக்குப் போனதும் ரிமாண்டில் விடப்பட்டான்.",1935,ta,wiki,அந்த
"அப்பொழுது நான் ஒரு தினசரிப் பத்திரிக்கையில் இருந்தேன். வேணு மறுநாள் என்னைப் பார்க்க வந்தான். என்ன செய்வதென்று அவனுக்குத் தெரியவில்லை. என்ன செய்வதென்று என்னைக் கேட்டான். ""போடா முட்டாள், இந்த விஷயங்களில் எல்லாம் இப்படியா நடந்து கொள்வது?"" என்று கண்டித்தேன்.",1935,ta,wiki,அந்த
வேறு விதியில்லை. அவனைப் பார்த்தால் பரிதாபமாக இருந்தது. ஏதாவது ஒரு மாதிரியாக முடித்து வைக்கலாம் என்று மாஜிஸ்திரேட்டைப் பார்க்கச் சென்றேன்.,1935,ta,wiki,அந்த
"அந்தப் பெண்ணின் பெயர் சாந்தாவென்றும், அவள் ஐ஡தியில் பிராமணப் பெண் என்றும், அவள் பெற்றோர் இறந்துவிட்டதினால் சித்தப்பாவுடன் வசிக்கிறாள் என்றும் அவள் இப்பொழுது உபாத்தியாயினியாக இருந்து வருகிறாள் என்றும் அறிந்தேன்.",1935,ta,wiki,அந்த
"மாஜிஸ்திரேட் அந்தப் பெண்ணின் சித்தப்பா ஒரு கேஸ் போட்டிருக்கிறார் என்றும் அதை அவர்கள் வாபஸ் வாங்கிக் கொண்டால், போலீஸ் கேஸை தள்ளுபடி செய்துவிடுகிறேன் என்றும் கூறினார்.",1935,ta,wiki,அந்த
இதற்கென்ன செய்வது? அந்தப் பெண்ணின் சித்தப்பா எப்படிப்பட்டவரோ? அவரைப் போய் பார்த்தால்தான் முடியும்.,1935,ta,wiki,அந்த
அன்று மத்தியானம் மூன்று மணிக்கு அவரைப் பார்க்கச் சென்றேன். அவர் ஒரு பென்ஷன் உத்தியோகஸ்தர். தியஸாபிக் பைத்தியம். அவருடைய சகதர்மிணியும் அப்படித்தான்.,1935,ta,wiki,அந்த
"கதவைத் தட்டியதும் ஒரு பெண் வந்து கதவைத் திறந்தாள். நல்ல அழகி. ஆம், அவள்தான். அந்த முட்டாள் செய்த தவறில் ஒரு ஆச்சரியமும் இல்லை. ""சித்தப்பா இருக்கிறாரா?"" என்று கேட்டேன். அவள் உள்ளே அழைத்துச் சென்றாள். அவள் சித்தப்பாவிற்கு ஒரு பத்திரிக்கையாசிரியர் தன்னைத் தேடி வீட்டிற்கு வந்து விட்டார் என்ற உத்ஸாகத்தில் தலைகால் தெரியவில்லை. அதிலும் எங்கள் பத்திரிக்கையில் அவருக்கு ஒரு பிரேமை இருந்தது.",1935,ta,wiki,அந்த
"குசலப் பிரச்னம் நடந்தபின், நான் வந்த காரியத்தைத் கூறினேன். இந்தக் கேஸினால் விஷயம் அதிகமாகப் பிரச்சாரமாகிப் பேச்சுக்கிடமாகும் என்பதை விளக்கமாகக் கூறினேன். அவருக்கும் அம்மாதிரிதான் பட்டது. ஆனால் அதைப்பற்றித் திடமாக ஒரு முடிவும் கூறவில்லை.",1935,ta,wiki,அந்த
சகதர்மிணியைக் கேட்டுச் செய்ய வேண்டும் என்று கூறினார். ஆனால் கேஸ் மறுநாளைக்கு கோர்ட்டுக்கு வருவதைக் குறிப்பிட்டேன். செய்வதாக இருந்தால் இன்றே ஆரம்பிக்க வேண்டும் என்றேன்.,1935,ta,wiki,அந்த
"அவர் உடனே சென்று, திருவல்லிக்கேணிக்குச் சொல்லித் தாம் வரும்வரை இருக்கும்படி கேட்டுக் கொண்டு சென்றுவிட்டார்.",1935,ta,wiki,அந்த
"""இந்தக் கேஸினால் எவ்வளவு தொந்தரவு இருக்கிறது. கோர்ட்டின் முன்பு நிற்கும்பொழுது எத்தனை பேர் சிரிப்பார்கள். நமக்குள்ளாக, ஒரு பேச்சிற்குச் சொல்கிறேன். அந்த முட்டாளுக்குப் புத்தி கற்பித்துவிட்டு, வேறு வண்டியில் ஏறியிருந்தால், இந்த கூக்குரல் இடாமல்?"" என்றேன்.",1935,ta,wiki,அந்த
"அவள் சிரித்தாள். ""நீங்கள் சொல்வதெல்லாம் சரிதான். அந்தச் சமயத்தில் நான் பயந்துவிட்டேன். பைத்தியக்காரன் கொல்ல வருகிறானாக்கும் என்று பயந்தே போனேன். அந்த முட்டாள் ஒரு வார்த்தை கூட பேசவில்லை"" என்றாள்.",1935,ta,wiki,அந்த
"நான் சிரித்துக்கொண்டு, ""மன்னிக்க வேண்டியது தான் என்று ஒப்புக் கொள்ளுங்கள். எப்படி இருந்தாலும் தங்களைப் போன்ற... அதில் அதிசயம் ஒன்றுமில்லை""",1935,ta,wiki,அந்த
"அவளும் என்னைவிட அதிகம் சிரித்தாள். ""ஆசைக்கும் செய்கைக்கும் எவ்வளவோ வித்தியாசம் இருக்கிறது.""",1935,ta,wiki,அந்த
"""மேலும் நீங்கள் அவனைப்போல் முட்டாளா? மேலும் உங்களைப்போல்..."" என்று கடைக்கண்ணால் நோக்கினாள்.",1935,ta,wiki,அந்த
"""மன்னியுங்கள். எனக்கும் அந்த வேணுவைப்போல் கோர்ட்டிற்குச் செல்ல வேண்டும் என்றுதான் ஆசை"" என்று மிகவும் தாழ்மையாகச் சொன்னேன்.",1935,ta,wiki,அந்த
"""தங்களைப் போன்ற அழகியை நான் கண்டதே இல்லை. தங்களை முத்தமிட்டதே பெரிய வெற்றி. அதற்கு என்ன தண்டனை வேண்டுமானாலும் ஏற்பேன்"" என்றேன்.",1935,ta,wiki,அந்த
அவள் சொல்லி முடியுமுன் அவளை மறுபடியும் அணைத்து முகத்திலும் அதரங்களிலும் முத்தங்களைச் சொரிந்தேன்.,1935,ta,wiki,அந்த
"தன்னை விடுவித்துக் கொண்டு, ""நீங்கள் ஒரு மிருகம், உங்களுடன் பேசியதே தவறு"" என்றாள்.",1935,ta,wiki,அந்த
"""மன்னியுங்கள், மன்னியுங்கள். நான் உங்களைக் காதலிக்கிறேன். தங்களைக் கண்ட ஒரு வருஷ காலமாக எனது காதல் வளர்ந்து கொண்டே வருகிறது"" என்று மனமறிந்து பொய் கூறினேன்.",1935,ta,wiki,அந்த
"""தங்களை ஒரு வருஷத்திற்கு முன்பு சென்னையில் சந்தித்தேன். அப்பொழுதே காதல் கொண்டேன். நான் வேணுவிற்காக இங்கு வரவில்லை. அந்தச் சாக்கை வைத்துக்கொண்டு தங்களைக் காணுவதற்காகவே வந்தேன்"" என்றேன்.",1935,ta,wiki,அந்த
இரவு ஏழு மணி இருக்கும். அவள் சித்தப்பா வந்து சேர்ந்தார். இருவரும் வழியிலேயே பேசி முடிவு கட்டி விட்டார்களாம். கேஸை வாபஸ் வாங்குவதாகச் சொன்னார்கள்.,1935,ta,wiki,அந்த
பிறகு சமீபத்தில் அவளைச் சந்திக்க நேர்ந்தது. அவள் ஒரு டி.இ.ஒ.விற்கு வாழ்க்கைப்பட்டிருந்தாள்.,1935,ta,wiki,அந்த
"அவளுடைய கணவன் என்னை மிகுந்த மரியாதையுடன் வரவேற்றார். ""தாங்கள் அந்த முட்டாள் வேணு விஷயத்தில் எவ்வளவு மரியாதையாக, பக்குவமாக நடந்து கொண்டீர்கள் என்று சாந்தா அடிக்கடி புகழ்ந்து கொண்டு இருக்கிறாள்"" என்று என்னை மரியாதையாக வரவேற்றார்.",1935,ta,wiki,அந்த
"அச்சிட்டோர்: கமர்ஷியல் பிரிண்டிங் அன் பப்ளிஷிங் அவுஸ்.46. அரண்மனைக்காரத்'தெரு, சென்னை- 1.",1935,ta,wiki,ஆண்மை
அப்பொழுது நாங்கள் கலாசாலையில் படித்துக் கொண்டிருந்தோம். அந்தக் காலமே குஷி; கேள்வி கேட்பார் கிடையாது.,1935,ta,wiki,கொலைகாரன்
"ஒரு நாள் சாயங்காலம் எங்கள் ரூமில் நாங்கள் உட்கார்ந்து பேசிச் சிரித்துக்கொண்டிருந்தோம். அப்பொழுது எங்கள் நண்பன் பரமேஸ்வரன், ""எங்கிருந்து வருகிறேன் என்று தெரியுமா?"" என்று சத்தம் போட்டுக் கொண்டு உள்ளே நுழைந்தான்.",1935,ta,wiki,கொலைகாரன்
"""எங்கிருந்து வருகிறாய் என்று சொல்ல வேண்டுமாக்கும்?"" என்று நாங்கள் அவனைப் பார்த்துச் சிரித்தோம்.",1935,ta,wiki,கொலைகாரன்
"""போங்கடா முட்டாள்கள். ஊரிலிருந்து அதிசயம் ஒன்று கொண்டு வந்தால், முட்டாள்தனமாக என்னத்தையும் நினைத்துக் கொள்ளுகிறதா?"" என்றான்.",1935,ta,wiki,கொலைகாரன்
பரமேஸ்வரன் வைத்திய கலாசாலை மாணவன். சஸ்திர வைத்தியத்தில் அபாரப் பிரேமை. கையில் ஏதோ ஒன்றைக் காகிதத்தில் சுருட்டி வைத்திருந்தான்.,1935,ta,wiki,கொலைகாரன்
"""நான் எங்களூருக்குப் போயிருந்தேன். அங்கே எங்கள் தெருவிற்கு மூன்றாவது தெருவில் ஒரு மந்திரவாதிச் சாமியார் இருந்தார். அவர் இப்பொழுதுதான் இறந்து போனார். தனி ஆசாமி. அனாதை. பிரேத சமஸ்காரம் செய்ய அங்கிருந்ததை எல்லாம் ஏலம் போட்டார்கள். அப்பொழுது நான் இதை வாங்கினேன். இந்தக் கை இருக்கிறதே, அதன் கதை வெகு ஆச்சரியமானது. இந்தக் கையுள்ள மனுஷன் ஒரு வெள்ளைக்காரன். கையைப் பார்த்தால் அப்படித் தெரியாது அதில் எண்ணெயும் தூசியும் படிந்து நிறம் மாறி இருக்கிறது. அவன் நூறு வருஷத்திற்கு முன்பு இங்கே வந்தவனாம். பொல்லாத படுபாவி!",1935,ta,wiki,கொலைகாரன்
"இங்கு வரும்போது பட்டாளத்து ஸோல்ஜராக வந்தான். அதை விட்டுவிட்டு ஒரு ஜமீந்தாரின் கையாளாக இருந்தான். கையாள் என்றால் என்ன? ஆட்களை உயர அனுப்பும் வேலைதான். சீமையிலேயே அவன் செய்த அக்கிரமங்கள் கொஞ்சமல்ல. கலியாணமான மறுநாள் தன் மனைவியைக் கிணற்றுக்குள் தூக்கிப் போட்டுக் கொன்றான். அதற்கு மறுநாள், தனக்குக் கலியாணச் சடங்கை நடத்தின அவன் இனத்து மதகுருக்களை மாதா கோவில் கோரியிலேயே கழுத்தில் சுருக்கு மாட்டி தொங்கவிட்டுக் கொன்றவன். பிறகு இங்கு வந்து இருந்தான்.",1935,ta,wiki,கொலைகாரன்
"அப்பொழுது வெள்ளைக்காரர்களுக்கு அவன் செய்த அட்டூழியங்கள் பெருத்த அவமானமாக இருந்தது. ஒரு நாள் இரவு அவனைச் சித்திரவதை செய்து கொன்று புதைத்து விட்டார்கள். அப்பொழுது அவன் கையிருக்கிறதே, பல கொலைகள் செய்த அந்த வலது கை, அதைத்தான் முதலில் வெட்டினார்கள். பிறகு அந்தக் கையைப் பதனிட்டு எங்கோ தொங்க விட்டிருக்கிறார்கள். இந்த மந்திரவாதி இருந்தானே, அவன் காய சித்தி பெற்றவன் என்று சொல்லிக் கொள்ளுவான். அவனும் அந்தச் சமயத்தில் இருந்தானாம். எப்படியோ அந்தக் கையைத் திருடிக் கொண்டுவந்து ஒரு வெள்ளைக்காரப் பிசாசைத் தனக்கு அடிமையாக வைத்திருந்ததாகக் கதை. இந்தக் கதையைக் கேட்டதும் எனக்கு அதை வைத்திருக்க வேண்டுமென்று ஆசை உண்டாயிற்று. உடனே வாங்கி வந்தேன்"" என்று கதையை முடித்தான் எங்கள் நண்பன்.",1935,ta,wiki,கொலைகாரன்
"ராமராஜு என்ற நண்பன் பின்வருமாறு கூற ஆரம்பித்தான். ""இம்மாதிரியாகக் கையை இழந்து மரணமடைந்தவனுடைய ஆத்மா, இழந்த கையைத் தேடும். அதை வைத்திருக்கிறவரைக் கொன்றுபோடும் என்று நான் கேட்டிருக்கிறேன்.""",1935,ta,wiki,கொலைகாரன்
உடனே எல்லோரும் சிரித்தோம். இருபதாம் நூற்றாண்டிலும் இம்மாதிரி பைத்தியக்காரப் பேர்வழியுண்டா என்று எங்களுக்கு ஆச்சரியமாக இருந்தது. அதிலும் வைத்திய மாணவன்.,1935,ta,wiki,கொலைகாரன்
"எம்.கே.நாயுடு என்ற பெரிய சரீரி, எல்லோரையும் கோட்டா பண்ணுகிறவர். ஒருவரையாவது விட்டுவைக்க மாட்டார். ""ஆமாம்! இந்தப் புலி சொல்லுகிறதைக் கேட்டு முடிந்து வைத்துக்கொள்ளுங்கள். அந்தப் பரமேஸ்வரனுக்கு மாமிசத்தில் கிறுக்கு விழுந்திருக்கிறது. அலைந்து போய் இதைக் கௌவிக்கொண்டு வந்திருக்கிறான்"" என்று ஒரு போடு போட்டார்.",1935,ta,wiki,கொலைகாரன்
"அவன் அந்தக் கையைத் தன் கட்டிலுக்குமேல் தொங்கவிட்டு, 'வாழ்வாவது மாயம்' என்று சுவரில் எழுதினான்.",1935,ta,wiki,கொலைகாரன்
கண்ணை விழித்ததும் பரமேஸ்வரனின் வேலைக்காரச் சிறுவன் என் பக்கத்தில் நடுநடுங்கிக்கொண்டு என்னை எழுப்ப முயல்வதை யறிந்தேன்.,1935,ta,wiki,கொலைகாரன்
"கண்கள் உள்ளே செருகி விட்டன. வெள்ளை விழி மட்டும் பயங்கரமாக விழித்தது. கைகால் தேகம் எல்லாம் முறுக்கிப் பின்னிக் கொண்டு கிடந்தன. அவன் கழுத்தில் சிவப்புத் தடம், வளையம் மாதிரி. அதில் ஐந்து சிறு துவாரங்கள். அதன் வழியாகச் சிறிது இரத்தம் வடிந்து காய்ந்து கிடந்தது. வாயிலிருந்தும் கடைவாயிலிருந்தும் வழிந்த சிறிய இரத்த ஓடை.",1935,ta,wiki,கொலைகாரன்
"பக்கத்தில் போலீஸ், - இரவு பீட் கான்ஸ்டேபிளும் அவன் கூப்பிட்டு வந்த ஒரு இன்ஸ்பெக்டரும், - என்னவோ எழுதிக் கொண்டிருந்தார்கள்.",1935,ta,wiki,கொலைகாரன்
நான் சுற்றுமுற்றும் பார்த்தேன் எனது நண்பன் தொங்கவிட்டு வைத்திருந்த கையைக் காணவில்லை. பார்ப்பதற்குப் பயங்கரமாகவும் அசிங்கமாகவும் இருக்கிறதென்று அதை எடுத்துவிட்டார்கள் போலிருக்கிறது.,1935,ta,wiki,கொலைகாரன்
"""பரமேஸ்வரன் என்ற வைத்திய கலாசாலை மாணவன் தஞ்சையில் நல்ல பண்ணைக் குடும்பத்தைச் சேர்ந்த பிராமணப் பையன். அவன் இரவு வந்ததும், தனக்கு மிகவும் களைப்பா இருக்கிறது என்று வேலைக்காரப் பையனை வெளியே அனுப்பி விட்டுப் படுத்துக் கொண்டான். இரவு ஒன்று அல்லது இரண்டு மணி சுமாருக்கு அவன் அறையில், பெருத்த இரைச்சல் கேட்க, வேலைக்காரன் உள்ளே ஓடிச் சென்று பார்த்தான். தனது எஜமானர் தலைவிரி கோலமாகக் கிடப்பதைக் கண்டதும் வெளியே வந்து ஆட்களை உதவிக்குக் கூப்பிட்டான். உடன் போலீஸார் வந்து விசாரணை செய்யத் தொடங்கினார்கள். டாக்டர் வந்து பரிசோதித்து, கொலை செய்ய முயன்றவன், அமானுஷ்யமான பலம் பொருந்தியவனாக இருக்க வேண்டும் என்று குறிப்பிட்டார். கொலைஞனைப் பற்றி வேறு ஒரு புலனும் தெரியவில்லை.""",1935,ta,wiki,கொலைகாரன்
எனது நண்பன் இறக்கவில்லை. ஆனால் அவனுக்குப் பைத்தியம் பிடித்துவிட்டது. பைத்தியக்கார ஆஸ்பத்திரிக்கு கொண்டு போனார்கள்.,1935,ta,wiki,கொலைகாரன்
